fpr,tpr,thresholds
0.0,0.0,inf
7.659816602105355e-05,0.7485808787377642,1.0
9.848335631278314e-05,0.7684709247753989,0.9998799160442827
9.848335631278314e-05,0.7735663522996469,0.9994476629361423
0.00010942595145864793,0.7819246413087203,0.999325308289545
0.00010942595145864793,0.790506413981138,0.9993234019019047
0.00012036854660451272,0.7994457605149063,0.9993204388274289
0.00012036854660451272,0.8087873776426944,0.999180492848329
0.00013131114175037753,0.8182183882358199,0.9991795774376978
0.00013131114175037753,0.8200509542752424,0.9988833462877585
0.0001531963320421071,0.824431234076789,0.9985161745430753
0.0001531963320421071,0.8282304563536406,0.9979295453143315
0.0001641389271879719,0.8315380145711349,0.9975659881936829
0.0001750815223338367,0.8347114825906227,0.9973784173922865
0.0001750815223338367,0.8376167702140973,0.9970322559773548
0.0001750815223338367,0.8407455415009163,0.9970097843242901
0.0001750815223338367,0.8412819022929424,0.9932452831707719
0.0001860241174797015,0.8445000670450991,0.9893617021276596
0.00019696671262556627,0.8477629285299244,0.989345509893455
0.00020790930777143108,0.8512045769454253,0.9892802450229708
0.00020790930777143108,0.853841684172887,0.9880952380952381
0.0004595889961263213,0.8581772672417646,0.9619256161930213
0.0006784408990436172,0.8625128503106423,0.9609213797780488
0.0008535224213774539,0.8669378268448577,0.9600855887752304
0.0010395465388571554,0.8716756805077549,0.9600379634333663
0.0011927428708992625,0.8762794439726456,0.9594144175079248
0.00132405401264964,0.8811066911008806,0.958689002629656
0.001488192939837612,0.8836544048630045,0.9482366812795846
0.0016085614864421245,0.8857998480311089,0.9472721481042221
0.0017179874379007725,0.8879005944665445,0.9468984521016994
0.001805528199067691,0.8898672507039735,0.9462651960365347
0.0019149541505263388,0.892280874268091,0.9461085439800089
0.002002494911693257,0.8949179814955527,0.944543384291512
0.002166633838881229,0.8960800965449426,0.9206782810006745
0.002265117195194012,0.8970187279309882,0.9169921457786642
0.0023745431466526603,0.8981361462477093,0.9165700129014575
0.002483969098111308,0.8993876547624369,0.9155779783699882
0.002582452454424091,0.9006838600098332,0.9134621931405976
0.0026699932155910097,0.9020694587225674,0.9118805268874899
0.002910730308800035,0.906673222187458,0.8608445297504799
0.0031076970214256013,0.9108747150583293,0.8587677725118483
0.003293721138905303,0.914897420998525,0.8584905660377359
0.003435974875801545,0.9195011844634158,0.8534728829686014
0.004420808438929376,0.923389800205605,0.8292364698021905
0.005350929026327884,0.9276806865418138,0.8268951076388797
0.006379532970039174,0.9324632369373799,0.8268261240236531
0.007309653557437682,0.9368435167389264,0.8265761038521379
0.008305429715711379,0.9415813704018237,0.8264159977287628
0.009158952137088831,0.9460957404013767,0.8247991355076186
0.00931214846913094,0.9481964868368122,0.8194945848375451
0.009454402206027182,0.950252536539579,0.8183453237410072
0.009607598538069289,0.95253206990569,0.8181818181818182
0.009727967084673802,0.9546775130737943,0.814748201438849
0.009727967084673802,0.9547222098064632,0.8033364914097068
0.009881163416715908,0.9557502346578465,0.7398119122257053
0.010012474558466286,0.9572252268359183,0.7266881028938906
0.01008907272448734,0.9581638582219639,0.723404255319149
0.010154728295362528,0.9591471863406785,0.7225609756097561
0.010176613485654257,0.9591471863406785,0.5765448109074341
0.011194274834219684,0.9635721628748939,0.5408163265306123
0.012014969470159544,0.967505475349752,0.5380530973451327
0.012857549296391131,0.9719304518839673,0.5356718192627824
0.013842382859518963,0.9772493630715595,0.5342631898120073
0.013853325454664828,0.9772493630715595,0.4050348658550999
0.013940866215831746,0.9772493630715595,0.13807169998514326
0.013984636596415205,0.9772493630715595,0.12932182576058945
0.014050292167290394,0.9772493630715595,0.125
0.0336922504541177,0.9789031421803066,0.11036021425724121
0.05275425119821417,0.9807804049523979,0.10895795321199057
0.07171776858599785,0.9831046350511777,0.1067817693636831
0.08990436171842514,0.9853841684172887,0.10655965058464008
0.1091852143654389,0.9878871854467438,0.10610555262636838
0.12734992230757447,0.9903455057435302,0.10570031771633256
0.1273718074978662,0.9903455057435302,0.1
0.12744840566388724,0.9903455057435302,0.08675070878898335
0.12748123344932485,0.9903455057435302,0.07694905708215181
0.12753594642505417,0.990390202476199,0.07032116355204511
0.12763442978136694,0.990390202476199,0.04164388222570577
0.14448602630599874,0.9920886783176149,0.02985685071574642
0.16132668023548466,0.9942341214857194,0.0291930973330605
0.17845184163876304,0.9966030483171681,0.028913192071086807
0.19569737158864597,0.9991060653466232,0.028735632183908046
0.19705425338673319,0.9991954588119608,0.01902398676592225
0.19840019258967456,0.9993295490099674,0.018196856906534328
0.19992121331494977,0.9995083359406427,0.01761744966442953
0.20120149694701595,0.9996871228713181,0.01729818780889621
0.20135469327905806,0.9996871228713181,0.015873015873015872
0.2014094062547874,0.9996871228713181,0.015384615384615385
1.0,1.0,0.0
